City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,castro,-24.79,-50.01,62.55,95,95,3.02,BR,1605495145
121,waddan,29.16,16.14,60.76,53,98,6.44,LY,1605495146
122,coquimbo,-29.95,-71.34,57.2,76,59,4.7,CL,1605495146
123,bethel,41.37,-73.41,54.0,81,90,14.99,US,1605495146
124,sao filipe,14.9,-24.5,79.36,62,68,6.69,CV,1605495146
125,colorado springs,38.83,-104.82,53.6,28,1,9.17,US,1605495023
126,ornskoldsvik,63.29,18.72,44.6,100,90,16.11,SE,1605495146
127,aswan,24.09,32.91,60.26,55,0,10.76,EG,1605495146
128,xuddur,4.12,43.89,69.53,92,88,14.23,SO,1605495146
129,auki,-8.77,160.7,80.58,82,100,7.07,SB,1605495146
130,geraldton,-28.77,114.6,78.8,27,0,9.17,AU,1605495146
131,tayu,-6.54,111.05,89.17,57,4,9.31,ID,1605495146
132,terryville,40.91,-73.07,61.0,87,90,40.26,US,1605495147
133,tambacounda,13.75,-13.76,68.0,49,0,7.2,SN,1605495147
134,harper,4.38,-7.72,78.31,86,7,8.75,LR,1605495147
135,temple,31.1,-97.34,52.0,37,1,4.7,US,1605494928
136,ancud,-41.87,-73.82,53.01,81,90,2.24,CL,1605495147
137,mozarlandia,-14.74,-50.57,74.03,75,84,2.35,BR,1605495147
138,finnsnes,69.23,17.98,37.99,83,100,14.99,NO,1605495147
139,saskylakh,71.92,114.08,3.51,93,98,7.96,RU,1605495147
140,sangar,63.92,127.47,-6.25,91,100,8.14,RU,1605495147
141,dikson,73.51,80.55,25.75,98,100,17.63,RU,1605495147
142,point fortin,10.18,-61.68,77.0,87,3,5.99,TT,1605495148
143,novovasylivka,46.83,35.75,31.62,96,0,7.16,UA,1605495148
144,basco,20.45,121.97,80.01,84,10,22.66,PH,1605495148
145,pasighat,28.07,95.33,75.88,35,0,0.96,IN,1605495148
146,paamiut,61.99,-49.67,24.85,76,17,12.62,GL,1605495148
147,khatanga,71.97,102.5,-3.39,92,94,10.92,RU,1605495148
148,port elizabeth,-33.92,25.57,62.6,88,90,10.29,ZA,1605495148
149,farah,32.5,62.5,37.44,64,0,0.85,AF,1605495149
150,srednekolymsk,67.45,153.68,-11.88,90,100,8.95,RU,1605495149
151,hilo,19.73,-155.09,78.8,65,1,2.21,US,1605494961
152,marzuq,14.4,46.47,54.54,53,0,0.29,YE,1605495149
153,esperance,-33.87,121.9,69.8,46,0,6.93,AU,1605494973
154,hirara,24.8,125.28,78.8,78,75,13.87,JP,1605495149
155,ulaanbaatar,47.91,106.88,33.8,50,75,2.24,MN,1605495149
156,ilulissat,69.22,-51.1,15.8,28,75,18.34,GL,1605495149
157,kavaratti,10.57,72.64,83.77,76,66,7.54,IN,1605495149
158,macherla,16.48,79.43,75.88,81,99,8.23,IN,1605495149
159,luena,-11.78,19.92,60.62,98,73,3.04,AO,1605495149
160,kodiak,57.79,-152.41,35.6,59,1,16.11,US,1605495149
161,ranot,7.78,100.32,83.73,73,99,12.33,TH,1605495150
162,narsaq,60.92,-46.05,12.2,61,0,3.36,GL,1605495150
163,dingle,11.0,122.67,86.04,74,31,11.48,PH,1605495150
164,mildura,-34.2,142.15,77.0,23,0,13.87,AU,1605495150
165,tilichiki,60.47,166.1,26.31,100,100,8.08,RU,1605495150
166,ust-tsilma,65.44,52.15,28.35,97,85,6.64,RU,1605495150
167,vila,42.03,-8.16,50.0,96,100,1.16,PT,1605495150
168,meulaboh,4.14,96.13,82.22,76,94,1.77,ID,1605495151
169,kruisfontein,-34.0,24.73,61.0,90,92,1.01,ZA,1605495151
170,lander,42.83,-108.73,39.2,44,1,8.05,US,1605495151
171,husavik,66.04,-17.34,33.8,74,90,3.36,IS,1605495151
172,poum,-20.23,164.02,77.76,82,44,9.64,NC,1605495151
173,kamyshevatskaya,46.41,37.96,42.15,84,48,9.93,RU,1605495151
174,smithers,54.78,-127.17,30.2,100,90,2.24,CA,1605495151
175,tevaitoa,-16.78,-151.5,81.18,76,100,9.28,PF,1605495151
176,biskamzha,53.45,89.53,18.5,94,100,3.36,RU,1605495151
177,inuvik,68.35,-133.72,14.0,78,100,11.41,CA,1605495152
178,tiznit,29.58,-9.5,69.4,28,44,4.61,MA,1605495152
179,linhares,-19.39,-40.07,73.38,95,99,3.24,BR,1605495128
180,nouadhibou,20.93,-17.03,73.4,46,100,12.75,MR,1605495152
181,pangnirtung,66.15,-65.71,14.81,90,95,3.65,CA,1605495152
182,vila velha,-20.33,-40.29,71.6,94,0,1.12,BR,1605494952
183,benemerito de las americas,16.52,-90.64,71.82,97,0,2.08,MX,1605495152
184,trinidad,-14.83,-64.9,78.89,75,61,4.21,BO,1605495152
185,liverpool,53.41,-2.98,53.6,81,94,21.92,GB,1605494954
186,puerto boyaca,5.98,-74.59,74.03,95,100,2.01,CO,1605495152
187,koundara,12.48,-13.3,71.87,34,0,1.97,GN,1605495152
188,vestmannaeyjar,63.44,-20.27,39.81,71,100,5.7,IS,1605495152
189,maba,24.68,113.6,75.27,71,72,2.53,CN,1605495153
190,miranda,3.25,-76.23,73.4,73,40,9.17,CO,1605495153
191,portland,45.52,-122.68,48.99,92,100,1.01,US,1605494899
192,chaohu,31.6,117.87,63.0,77,91,11.18,CN,1605495153
193,osmena,10.52,119.93,83.35,80,65,15.5,PH,1605495153
194,fort nelson,58.81,-122.7,8.6,84,90,4.7,CA,1605495153
195,kitimat,54.05,-128.65,36.0,94,100,1.01,CA,1605495069
196,souillac,-20.52,57.52,71.6,60,40,8.05,MU,1605495153
197,cabo san lucas,22.89,-109.91,73.99,64,5,3.36,MX,1605494871
198,parichha,25.52,78.75,68.09,74,100,12.12,IN,1605495154
199,zavallya,48.21,30.02,43.9,72,99,4.47,UA,1605495154
200,eureka,40.8,-124.16,60.01,100,90,8.68,US,1605495040
201,goderich,43.75,-81.72,41.0,78,100,31.09,CA,1605495154
202,antalaha,-14.9,50.28,72.27,80,4,8.34,MG,1605495154
203,henties bay,-22.12,14.28,57.0,89,40,4.32,NA,1605495154
204,mabaruma,8.2,-59.78,77.63,88,100,4.92,GY,1605495154
205,sola,-13.88,167.55,80.98,82,95,18.57,VU,1605495154
206,santa rosalia,27.32,-112.28,65.14,59,0,7.83,MX,1605495155
207,manokwari,-0.87,134.08,82.58,79,91,11.01,ID,1605495155
208,huarmey,-10.07,-78.15,63.46,86,95,8.61,PE,1605495070
209,tasiilaq,65.61,-37.64,15.26,92,100,2.98,GL,1605495155
210,bhainsa,26.95,76.9,68.79,79,9,7.43,IN,1605495155
211,lagoa,39.05,-27.98,64.49,85,8,13.02,PT,1605495155
212,fukue,32.69,128.84,69.8,83,75,9.17,JP,1605495155
213,kapoeta,4.77,33.59,74.43,73,10,4.68,SS,1605495155
214,port hardy,50.7,-127.42,46.4,100,40,6.93,CA,1605495155
215,cadereyta,25.58,-99.98,71.6,37,75,4.7,MX,1605495155
216,kaeo,-35.1,173.78,63.59,80,80,6.46,NZ,1605495155
217,qaanaaq,77.48,-69.36,2.25,81,100,11.77,GL,1605495156
218,bosaso,11.28,49.18,73.04,75,9,4.92,SO,1605495156
219,san patricio,28.02,-97.52,69.8,26,40,12.75,US,1605495156
220,torbay,47.67,-52.73,34.0,88,90,11.41,CA,1605495156
221,rundu,-17.93,19.77,67.32,85,79,4.29,NA,1605495156
222,padang,-0.95,100.35,85.14,68,55,4.07,ID,1605495156
223,ponta pora,-22.54,-55.73,66.99,99,48,6.8,BR,1605495156
224,norman wells,65.28,-126.83,1.4,84,90,2.24,CA,1605495156
225,baraboo,43.47,-89.74,34.0,74,90,16.11,US,1605495156
226,kunya,12.22,8.53,64.4,63,36,4.7,NG,1605495156
227,gornyy,55.12,83.91,20.86,100,46,1.28,RU,1605495156
228,clyde river,70.47,-68.59,12.2,66,90,16.11,CA,1605495157
229,rapid valley,44.06,-103.15,37.99,58,1,4.7,US,1605495157
230,sinnamary,5.38,-52.95,78.84,88,4,9.01,GF,1605495157
231,kungurtug,50.6,97.52,26.62,93,100,1.77,RU,1605495157
232,salinopolis,-0.61,-47.36,81.34,79,100,10.98,BR,1605495136
233,sao jose dos pinhais,-25.53,-49.21,64.99,93,20,3.36,BR,1605495157
234,inverell,-29.78,151.12,96.01,28,0,5.99,AU,1605495157
235,sundumbili,-29.13,31.4,66.2,93,20,4.7,ZA,1605495157
236,pljevlja,43.33,19.33,46.4,81,0,10.29,ME,1605495157
237,oum hadjer,13.3,19.7,69.04,34,0,9.19,TD,1605495047
238,dasoguz,41.84,59.97,21.2,67,0,9.17,TM,1605495158
239,talnakh,69.49,88.4,8.6,84,75,6.71,RU,1605495158
240,sonqor,34.78,47.6,37.4,74,40,2.24,IR,1605494886
241,cherskiy,68.75,161.3,1.99,93,100,6.76,RU,1605495158
242,crestview,30.76,-86.57,68.0,59,1,8.66,US,1605495051
243,tarakan,3.3,117.63,82.8,73,11,1.7,ID,1605495158
244,sitka,57.05,-135.33,32.0,89,40,4.7,US,1605495158
245,arraial do cabo,-22.97,-42.03,73.63,94,37,11.3,BR,1605495158
